user_id,method,final_uncertainty,final_error,final_variance_axis_0,final_variance_axis_1,final_variance_axis_2,final_variance_axis_3,final_error_axis_0,final_error_axis_1,final_error_axis_2,final_error_axis_3
0,variance,0.09752287494932041,0.18064600932615643,0.025567889981459046,0.01592795037942874,0.02053679884225601,0.035490235746176615,0.08624769201209448,0.05267952346150484,0.13649026379018048,0.06155966216938169
1,variance,0.08926644219700404,0.26354480029388055,0.01936555805976736,0.030943279840548565,0.020481125004057976,0.018476479292630132,0.1110146284873601,0.13515361491784383,0.18892091543828515,0.056338282795575956
2,variance,0.11141446997230875,0.28508148687166623,0.02827005824162692,0.025621122538677713,0.03104428752969671,0.0264790016623074,0.013413333281793616,0.17256925914443022,0.13868154365689606,0.17910560263295627
3,variance,0.09412786177366941,0.23408777164267716,0.023762653161904634,0.03377684694926817,0.018658779849699943,0.01792958181279666,0.04082090352314627,0.19868882555587822,0.11550587542051621,0.01766018150399773
4,variance,0.10726536281132912,0.08817150110395564,0.024848589830926835,0.030215000126605548,0.020846037250568585,0.031355735603228164,0.004037655621830782,0.07305548748171964,0.04119706181340732,0.026899977523316798
5,variance,0.09481907764272858,0.12279294070850909,0.01725053960282412,0.027773553630670713,0.02959711307106379,0.020197871338169957,0.029276322869219107,0.02844840697533013,0.07691556822280032,0.08657763402074697
6,variance,0.09094252550914178,0.23815686247564838,0.0235264683277191,0.02565474975118947,0.018502921919778287,0.023258385510454924,0.12333929514721831,0.11805828000298513,0.1660307535180655,0.001463156106639607
7,variance,0.09981962679522946,0.27899708430852815,0.022667746354784805,0.024300387784154286,0.02540199251749951,0.02744950013879085,0.041970345944223275,0.0784589461971601,0.21760404177389125,0.15023494227136347
8,variance,0.11887814138867966,0.2826684066240469,0.02787839390599242,0.03931079994495942,0.02668298734772847,0.02500596018999934,0.19858797510068488,0.19160903436450627,0.06033711757150334,0.010471601685097198
9,variance,0.10078091738743304,0.19790843665648594,0.022829307014837815,0.024652168203500406,0.02650951794690888,0.026789924222185946,0.06787422188213899,0.05314087687915825,0.1452381770052572,0.10316374580448401
10,variance,0.09664650049322801,0.19646882629868298,0.02129921301137635,0.023954457569481946,0.026390996480805895,0.025001833431563807,0.09983899730401924,0.037264638744888945,0.16259158081650427,0.0284165246170813
11,variance,0.09629025938963043,0.2640376434540715,0.01595701665510885,0.02704641463647051,0.029332242929293362,0.023954585168757706,0.1330782983884039,0.11405572384601503,0.18035077659293136,0.08044210899220905
12,variance,0.11037895647949167,0.2040234259742818,0.025605695507278987,0.027365522778053614,0.03101444316350164,0.026393295030657436,0.12732971796234788,0.08669984371274869,0.06596926690816174,0.11637823762927868
13,variance,0.0936665386041034,0.27575266676150606,0.026860500380476434,0.0166347600254046,0.021832363995104916,0.028338914203117453,0.17597913977381419,0.036674143007135895,0.16541643337203865,0.12791906189351382
14,variance,0.10657568092113524,0.2159814822358158,0.021517335951874474,0.023056685385992676,0.02720247548451391,0.03479918409875418,0.12387837176424854,0.009823354267521567,0.13428612875095083,0.11477319815112097
15,variance,0.09676192003440409,0.1345350105453543,0.02064157586905616,0.024600315305377943,0.025371251235958778,0.026148777624011223,0.06942077040618655,0.09420706078929664,0.03587933016431688,0.05584021009140128
16,variance,0.10924078673019118,0.09987784332979414,0.028691990617364847,0.027987769348805647,0.023024969377164275,0.029536057386856412,0.03182679044223535,0.019412148616394065,0.07002576948272227,0.06068112633104805
17,variance,0.13374914774128988,0.19574697575344444,0.01729611219728198,0.06705063189862834,0.016691050894071708,0.032711352751307855,0.09521986242343328,0.03448197220054139,0.0030198260511684616,0.16748710565432723
18,variance,0.10102609859172719,0.14041132825398867,0.01919293544956961,0.019352190146198787,0.029956732623422494,0.0325242403725363,0.11255186627979508,0.07347013762559373,0.03728671841240344,0.016101490809702412
19,variance,0.10190189210756079,0.26887794665748654,0.025325021513749563,0.019980497620531428,0.023413926611154053,0.03318244636212574,0.018354241233577318,0.1472361304044748,0.22099238731759574,0.03797839752638396
0,random,0.10249002676150432,0.11843488326885994,0.0293863033106296,0.01696456831680318,0.02040367554601839,0.03573547958805314,0.004623591217541051,0.0858227557779081,0.05312735416496661,0.06178497235798769
1,random,0.08090862799375478,0.219598768386843,0.017503523522386856,0.02859455158057033,0.017520906002111696,0.017289646888685894,0.05649881993575001,0.1550912344143698,0.09496556366944908,0.10936065630589831
2,random,0.10333370777077105,0.17912501118685664,0.02549597867177156,0.02378380320504694,0.0289466948311315,0.02510723106282106,0.047741728400348626,0.02945710051386785,0.0674772538544951,0.15615888205161682
3,random,0.10049244136403329,0.2475604224353137,0.02505145718908556,0.036619027218893256,0.018263229598419677,0.020558727357634796,0.03506548285042166,0.20197797242783724,0.020956062674801046,0.13719444872124886
4,random,0.11335390374651949,0.1569065643718444,0.02509509840406731,0.03488221803573547,0.02257430989800456,0.030802277408712147,0.048903310774515374,0.10939950235159543,0.055616704287436314,0.08465617064156661
5,random,0.09658454479923273,0.2321606701331869,0.01705238607713721,0.025521082353386043,0.03168830146090349,0.022322774907805994,0.01105983090721463,0.018214265953198527,0.11402024574661196,0.20110664079702242
6,random,0.09554867331016632,0.3657795513956275,0.023667101204525406,0.03045777345062873,0.017584908065906228,0.02383889058910596,0.3137706366454054,0.17554466510938538,0.06389452902249276,0.021076705410264407
